lettr,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
B,4,8,6,6,5,9,7,4,6,10,5,6,2,8,6,10
B,1,0,1,0,0,7,7,6,4,7,6,7,1,8,5,9
B,4,8,6,6,8,8,8,4,3,6,7,7,6,11,8,9
B,4,7,6,5,5,8,6,5,6,9,6,7,3,8,7,9
B,9,14,7,8,5,6,8,5,7,10,6,8,6,6,7,9
B,4,7,6,5,5,7,8,5,5,9,6,6,3,7,6,7
B,4,7,5,5,6,8,7,6,6,6,6,6,2,8,6,9
B,4,7,5,5,4,8,6,4,6,9,5,6,2,8,6,10
B,5,10,6,8,7,9,7,3,5,7,6,8,7,8,6,9
B,4,9,4,7,4,6,7,9,7,7,6,7,2,8,9,10
B,3,7,5,5,5,8,8,4,5,7,5,6,4,8,5,8
B,4,10,6,8,7,8,7,4,7,6,6,6,6,8,6,10
B,6,9,8,7,7,7,8,6,5,6,5,6,4,9,7,6
B,4,10,5,8,7,6,8,8,5,7,5,7,2,8,7,9
B,2,3,4,2,2,8,7,3,5,10,5,6,2,8,4,9
B,6,9,8,7,6,10,6,3,7,10,3,7,6,8,7,11
B,6,8,9,7,9,7,8,5,5,8,6,8,7,7,9,6
B,4,10,5,7,7,8,7,6,5,7,6,6,6,8,6,10
B,3,6,4,4,5,7,7,6,5,7,6,6,2,8,6,10
B,7,11,9,8,8,10,6,3,6,10,3,7,5,7,6,11
B,4,9,6,6,6,6,8,7,4,7,5,6,4,8,5,6
B,4,9,4,7,5,6,8,8,6,7,5,7,2,8,7,9
B,3,7,3,5,3,6,8,8,6,7,5,7,2,8,9,10
B,2,6,4,4,3,8,8,5,7,7,6,6,2,8,6,9
B,7,11,7,6,5,9,7,3,5,10,5,7,6,7,7,8
B,4,8,6,6,4,8,8,4,7,10,5,6,2,8,6,10
B,4,5,4,8,4,6,9,10,7,7,5,7,2,8,9,10
B,3,6,4,4,4,6,7,6,3,6,5,7,2,8,6,6
B,1,0,1,0,0,7,7,6,4,7,6,7,1,8,5,9
B,4,10,6,8,6,9,7,3,5,10,4,6,2,8,5,9
B,2,5,3,4,3,7,7,5,5,6,6,6,2,8,5,9
B,1,3,3,2,2,8,6,2,5,10,5,7,2,8,3,9
B,8,12,6,6,4,7,7,5,6,10,5,8,6,6,7,10
B,3,4,5,3,3,8,7,3,5,10,5,7,2,8,4,10
B,3,6,4,4,4,6,6,7,5,6,6,7,2,9,7,10
B,3,6,3,4,3,6,6,8,6,6,6,7,2,8,8,9
B,3,2,4,3,3,7,7,5,6,6,6,6,2,8,7,10
B,4,9,6,6,5,9,6,4,6,10,5,7,3,7,6,9
B,4,8,6,7,7,8,7,5,5,7,6,8,6,9,8,4
B,1,0,2,1,1,7,8,7,5,7,6,7,1,8,6,8
B,2,3,2,2,2,7,7,5,5,7,6,6,2,8,5,9
B,4,7,6,5,4,10,6,3,7,10,4,7,3,8,5,11
B,2,3,3,1,2,7,7,4,5,7,6,6,1,8,5,9
